Monster	Type	AC	HD	Save	Campaign Setting	Source	Pg. #	Edition	Legal Status	OGL Source
Insect Swarm, Velvet Ants					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Insect Swarm, Velvet Ants					Generic	Monstrous Manual 	206	AD&D2		
Insect, Ant Lion, Giant					Generic	Monstrous Manual 	204	AD&D2		
Insect, Ant, Giant					Generic	Monstrous Manual 	204	AD&D2		
Insect, Aratha					Generic	Monstrous Manual 	204	AD&D2		
Insect, Aspis, Cow					Generic	Monstrous Manual 	204	AD&D2		
Insect, Aspis, Drone					Generic	Monstrous Manual 	204	AD&D2		
Insect, Aspis, Larva					Generic	Monstrous Manual 	204	AD&D2		
Insect, Assassin Bug					Generic	Monstrous Manual 	204	AD&D2		
Insect, Bee, Soldier					Generic	Monstrous Manual 	204	AD&D2		
Insect, Bee, Worker					Generic	Monstrous Manual 	204	AD&D2		
Insect, Bumblebee					Generic	Monstrous Manual 	204	AD&D2		
Insect, Cave Cricket					Generic	Monstrous Manual 	204	AD&D2		
Insect, Dragonfly, Giant					Generic	Monstrous Manual 	204	AD&D2		
Insect, Dragonfly, Larva					Generic	Monstrous Manual 	204	AD&D2		
Insect, Ear Seeker					Generic	Monstrous Manual 	204	AD&D2		
Insect, Firefriend					Generic	Monstrous Manual 	204	AD&D2		
Insect, Fly, Bluebottle					Generic	Monstrous Manual 	204	AD&D2		
Insect, Fly, Horsefly					Generic	Monstrous Manual 	204	AD&D2		
Insect, Fyrefly					Generic	Monstrous Manual 	204	AD&D2		
Insect, Horax					Generic	Monstrous Manual 	204	AD&D2		
Insect, Hornet, Giant					Generic	Monstrous Manual 	204	AD&D2		
Insect, Pernicon					Generic	Monstrous Manual 	204	AD&D2		
Insect, Praying Mantis					Generic	Monstrous Manual 	204	AD&D2		
Insect, Termite, Giant Harvester, King					Generic	Monstrous Manual 	204	AD&D2		
Insect, Termite, Giant Harvester, Queen					Generic	Monstrous Manual 	204	AD&D2		
Insect, Termite, Giant Harvester, Soldier					Generic	Monstrous Manual 	204	AD&D2		
Insect, Termite, Giant Harvester, Worker					Generic	Monstrous Manual 	204	AD&D2		
Insect, Tick, Giant					Generic	Monstrous Manual 	204	AD&D2		
Insect, Wasp, Giant					Generic	Monstrous Manual 	204	AD&D2		
Insectare					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Insectoid, Giant Ant					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	101	AD&D2		
Insectoid, Giant Tick					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	101	AD&D2		
Insectoid, Stag Beetle					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	101	AD&D2		
Insects or small animals					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	20	D&D1		
Insects or small animals					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	20	D&D1		
Intellect Devourer					Generic	Monster Manual	54	AD&D1		
Intellect Devourer					Generic	Supplement III: Eldritch Wizardry	38	D&D1		
Intellect Devourer, Adult					Dark Sun	Black Spine [Adventure Book Three]	86	AD&D2		
Intellect Devourer, Adult					Generic	Complete Psionics Handbook (PHBR5)	117	AD&D2		
Intellect Devourer, Adult					Generic	Monstrous Manual 	207	AD&D2		
Intellect Devourer, Larva					Dark Sun	Black Spine [Adventure Book Three]	86	AD&D2		
Intellect Devourer, Larva					Generic	Monstrous Manual 	207	AD&D2		
Intellect Devourer, Larva (Ustilagor)					Generic	Complete Psionics Handbook (PHBR5)	118	AD&D2		
Invisible					Lankhmar	Fritz Leiber's Lankhmar [Adventures in Lankhmar Sourcebook]	92	AD&D2		
Invisible Flying Rayfish					Lankhmar	Fritz Leiber's Lankhmar [Adventures in Lankhmar Sourcebook]	92	AD&D2		
Invisible Stalker					Dark Sun	Black Spine [Adventure Book Three]	87	AD&D2		
Invisible Stalker					Generic	Monster Manual	55	AD&D1		
Invisible Stalker					Generic	Monstrous Compendium Volume One		AD&D2		
Invisible Stalker					Generic	Monstrous Manual 	208	AD&D2		
Invisible Stalker					Generic	Supplement III: Eldritch Wizardry	29	D&D1		
Invisible Stalker					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	18	D&D1		
Invisible of Stardock					Lankhmar	Lankhmar: City of Adventure 	160	AD&D2		
Irda Tree					Dragonlance	Sylvan Veil	72	AD&D2		
Irish Deer					Generic	Monster Manual	55	AD&D1		
Iron Cobra					Generic	Fiend Folio	52	AD&D1		
Iron Cobra					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Iron Cobra, Giant					Generic	Dragon #164	78	AD&D2		
Iron Cobra, Normal					Generic	Dragon #164	78	AD&D2		
Iron Dragon					Generic	Dragon #170	30	AD&D2		
Iron Maiden					Forgotten Realms	Wizard's Spell Compendium, Volume Two	468	AD&D2		
Iron Man					Generic	Lost Island of Castanamir (C3)	30	AD&D1		
Iron Warrior					Generic	Dungeon #46	71	AD&D2		
Ironmaw					Planescape	Planescape Monstrous Compendium Appendix II 	54	AD&D2		
Island Serpents					Forgotten Realms (Oriental Adventures)	Ochimo the Spirit Warrior (OA3)	48	AD&D1		
Isopterite, Queen					Spelljammer	Crystal Spheres (SJA3)	61	AD&D2		
Isopterite, Warrior					Spelljammer	Crystal Spheres (SJA3)	61	AD&D2		
Ithaqua, Lord of Air, Windwalker					Cthulhu	Dragon #12	20	D&D?		
Ivy, Crawling					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	62	AD&D2		
Ixitxachitl					Blackmoor	Supplement II: Blackmoor	23	D&D1		
Ixitxachitl					Generic	Monster Manual	55	AD&D1		
Ixitxachitl					Generic	Monstrous Manual 	117	AD&D2		
Ixitxachitl					Generic	Monstrous Manual 	209	AD&D2		
Ixitxachitl, Ixzan					Generic	Monstrous Compendium Annual Volume Three	64	AD&D2		
Ixitxachitl, Ixzan					Generic	Night Below: An Underdark Campaign 		AD&D2		
Jabberwock					Generic	Dragon #54	30	AD&D1		
Jabberwock					Generic	Monstrous Compendium Annual Volume Three	66	AD&D2		
Jacinth Dragons					Generic	Dragon #158	26	AD&D2		
Jack Frost					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	63	AD&D2		
Jackal					Generic	Dragon #102	21	AD&D1		
Jackal					Generic	Monster Manual	56	AD&D1		
Jackal					Generic	Monstrous Compendium Volume One		AD&D2		
Jackalwere					Generic	Monster Manual	56	AD&D1		
Jackalwere					Generic	Monstrous Compendium Volume One		AD&D2		
Jackalwere					Generic	Monstrous Manual 	210	AD&D2		
Jaculi					Generic	Fiend Folio	53	AD&D1		
Jade Dragons					Forgotten Realms	Dragon #158	25	AD&D2		
Jade Fish					Generic	Dungeons of Mystery (GR2)	61	AD&D2		
Jagre					Forgotten Realms (Maztica)	Maztica Campaign Set [Maztica Alive!]	60	AD&D2		
Jaguar					Generic	Monster Manual	56	AD&D1		
Jaguarman					Generic	Imagine #28	12	AD&D1		
Jaguarman					Generic	Imagine #28	12	AD&D1		
Jahi					Generic	Dragon #12	10	D&D?		
Jakar					Greyhawk	Vale of the Mage (WG12)	31	AD&D2		
Jalath'gak					Dark Sun	Dragon #185	22	AD&D2		
Jalath'gak					Dark Sun	Thri-Kreen of Athas	125	AD&D2		
Jaleeda Bird					Greyhawk	Vale of the Mage (WG12)	32	AD&D2		
Jammer Leech					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Jann					Generic	Dragon #66	21	AD&D1		
Jann					Generic	Monster Manual II	77	AD&D1		
Jarbo					Dark Sun	Dungeon #35	33	AD&D2		
Jarbo					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Jarkung					Generic	Dragon #37	M8	AD&D1		
Jarnkung					Generic	Dragon #14	3	D&D?		
Jealousy					Generic	Dragon #12	10	D&D?		
Jelly, Mustard					Generic	Monster Manual II	77	AD&D1		
Jelly, Mustard					Greyhawk	Greyhawk Ruins (WGR1)	99	AD&D2		
Jelly, Stun-					Greyhawk	Greyhawk Ruins (WGR1)	99	AD&D2		
Jellyfish, Death's Head					Mystara	Mystara Monstrous Compendium Appendix 	67	AD&D2		
Jellyfish, Galley					Mystara	Mystara Monstrous Compendium Appendix 	67	AD&D2		
Jellyfish, Giant (Portugese Man-o-War)					Generic	Monstrous Compendium Annual Volume Two 	74	AD&D2		
Jellyfish, Giant (Portugese Man-o-War), Sea Swarm					Generic	Monstrous Compendium Annual Volume Two 	74	AD&D2		
Jellyfish, Marauder					Mystara	Mystara Monstrous Compendium Appendix 	67	AD&D2		
Jermlaine					Generic	Monstrous Compendium Volume Two		AD&D2		
Jermlaine					Greyhawk	Descent into the Depths of the Earth (D1-2)	24	AD&D1		
Jermlaine					Greyhawk	Descent into the Depths of the Earth (D1)	12	AD&D1		
Jermlaine (Jinxkins)					Generic	Fiend Folio	53	AD&D1		
Jhakar					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	59	AD&D2		
Jhakar					Dark Sun	Valley of Dust and Fire (DSR4)	83	AD&D2		
Jigarkhor (wight)					Generic	Dragon Annual #1	68	AD&D2		
Jinsu Orcs					Generic	Polyhedron #51	14	AD&D1		
Jinsu Orcs					Generic	Polyhedron #51	14	D&D?		
Jishin Mushi					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Jishin Mushi					Forgotten Realms (Oriental Adventures)	Oriental Adventures	123	AD&D1		
Jolly Roger					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	64	AD&D2		
Jor					Generic	Dragon #141	18	AD&D1		
Jormungandr (Midgard Serpent)					Generic	Deities and Demigods Cyclopedia	119	AD&D1		
Jormungandr (Midgard Serpent)					Generic	Legends & Lore	104	AD&D1		
Jorri					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Jozhal					Dark Sun	Dark Sun Boxed Set [The Wanderer's Journal]	94	AD&D2		
Juggernaut					Forgotten Realms	Wizard's Spell Compendium, Volume Two	477	AD&D2		
Juggernaut					Greyhawk	Temple of Elemental Evil (T1-4)	125	AD&D1		
Juggernauts					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	21	D&D1		
Juhrion					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Jujubee					Generic	Dungeon #4	36	AD&D1		
Jumping Spiders, Large					Generic	Dungeon #46	15	D&D?		
Jumping spider					Generic	Dragon #67	17	AD&D1		
Jungle Hound					Al-Qadim	Assassin Mountain (ALQ2)		AD&D2		
K'r'r'r					Spelljammer	Legend of Spelljammer [The Grand Tour]	61	AD&D2		
Ka					Generic	Dragon #198	21	AD&D2		
Kada					Al-Qadim	Dungeon #57	35	AD&D2		
Kaisharga					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	60	AD&D2		
Kaisharga					Dark Sun	Valley of Dust and Fire (DSR4)	84	AD&D2		
Kaisharga, Jagmargal					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	60	AD&D2		
Kaisharga, Neltor					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	61	AD&D2		
Kaisharga, Xontra					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	61	AD&D2		
Kakatal the Fire Lord					Melniboné	Supplement IV: Gods, Demigods, Heroes	54	D&D1		
Kala, Cave					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Kala, Cave					Forgotten Realms (Oriental Adventures)	Oriental Adventures	123	AD&D1		
Kala, Earth					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Kala, Earth					Forgotten Realms (Oriental Adventures)	Oriental Adventures	123	AD&D1		
Kalin					Dark Sun	City by the Silt Sea [Monstrous Supplement]	14	AD&D2		
Kalin					Generic	Monstrous Compendium Annual Volume Two 	75	AD&D2		
Kalin Rider					Generic	Monstrous Compendium Annual Volume Two 	75	AD&D2		
Kalmari					Forgotten Realms	Curse of the Azure Bonds (FRC2)	91	AD&D2		
Kalmari					Forgotten Realms	Hall of Heroes (FR7)	94	AD&D2		
Kalmari					Forgotten Realms	Villains' Lorebook	70	AD&D2		
Kalothagh (Prickleback)					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Kaluk					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Kamadan					Generic	Fiend Folio	55	AD&D1		
Kamatlan					Forgotten Realms (Maztica)	Maztica Campaign Set [Maztica Alive!]	61	AD&D2		
Kamatlan, Kamadan					Forgotten Realms (Maztica)	Maztica Campaign Set [Maztica Alive!]	61	AD&D2		
Kamerynn, Large Male Unicorn					Forgotten Realms	Moonshae (FR2)	25	AD&D1		
Kamigoroshi (Lesser Spirit)					Forgotten Realms (Oriental Adventures)	Dragon #198	87	AD&D2		
Kampfult					Generic	Monster Manual II	78	AD&D1		
Kampfults, Giant					Forgotten Realms	Treasures of the Savage Frontier [Adventure Journal]	18	AD&D2		
Kangaroo					Generic	Dragon #186	45	D&D?		
Kani Doll					Dragonlance	Dragon Magic (DLE2)	63	AD&D2		
Kani Doll					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Kani Doll					Dragonlance	Tales of the Lance [World Book of Ansalon]	142	AD&D2		
Kank, Wild					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Kapak					Dragonlance	Dragons of Flame (DL2)	31	AD&D1		
Kapak					Dragonlance	Dragonlance Classics: Volume II (DLC2)	96	AD&D2		
Kappa					Forgotten Realms (Oriental Adventures)	Dragon #13	13	D&D?		
Kappa					Generic	Best of The Dragon	72	D&D?		
Kappa, Common					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Kappa, Common					Forgotten Realms (Oriental Adventures)	Oriental Adventures	124	AD&D1		
Kappa, Vampiric					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Kappa, Vampiric					Forgotten Realms (Oriental Adventures)	Oriental Adventures	124	AD&D1		
Kappa-Ti					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Kartang					Dark Sun	Dark Sun: Wake of the Ravager [Rule Book]	33	AD&D2		
Kasharin					Generic	I, Tyrant 	80	AD&D2		
Kasharin					Spelljammer	Legend of Spelljammer [The Grand Tour]	60	AD&D2		
Katanga, Caiman					Forgotten Realms	Polyhedron #102	21	AD&D2		
Katanga, Hedgehog					Forgotten Realms	Polyhedron #129	37	AD&D2		
Katanga, Impala					Forgotten Realms	Polyhedron #129	36	AD&D2		
Katanga, Monkey					Forgotten Realms	Polyhedron #102	21	AD&D2		
Katanga, Ostrich					Forgotten Realms	Polyhedron #121	13	AD&D2		
Katanga, Pangolin					Forgotten Realms	Polyhedron #102	21	AD&D2		
Katanga, Snake					Forgotten Realms	Polyhedron #102	21	AD&D2		
Katanga, Tiger					Forgotten Realms	Polyhedron #102	21	AD&D2		
Kavainus					Generic	Dragon #260	30	AD&D2		
Kazgaroth					Forgotten Realms	Moonshae (FR2)	28	AD&D1		
Kazgaroth					Forgotten Realms	Hall of Heroes (FR7)	79	AD&D2		
Kazgaroth					Forgotten Realms	Villains' Lorebook	72	AD&D2		
Kech					Generic	Monster Manual II	78	AD&D1		
Kech					Greyhawk	Monstrous Compendium Greyhawk Appendix		AD&D2		
Keeper					Planescape	Planescape Monstrous Compendium Appendix II 	56	AD&D2		
Kelmain					Melniboné	Deities and Demigods Cyclopedia	90	AD&D1		
Kelp Devil					Greyhawk	Return to White Plume Mountain	62	AD&D2		
Kelpie					Generic	Fiend Folio	55	AD&D1		
Kelpie					Generic	Monstrous Compendium Volume Two		AD&D2		
Kelpie					Greyhawk	White Plume Mountain (S2)	10	AD&D1		
Kender					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Kender					Dragonlance	Time of the Dragon [Rulebook of Taladas]	4	AD&D2		
Kender, Marak					Dragonlance	Time of the Dragon [Rulebook of Taladas]	4	AD&D2		
Kenku					Dark Sun	Black Spine [Adventure Book Three]	88	AD&D2		
Kenku					Generic	Fiend Folio	56	AD&D1		
Kenku					Generic	Monstrous Compendium Volume Two		AD&D2		
Kenku					Generic	Monstrous Manual 	211	AD&D2		
Kercpa					Generic	Dragon #214	24	AD&D2		
Kercpa					Generic	Monstrous Compendium Annual Volume Four	52	AD&D2		
Keres					Generic	Dragon #210	32	AD&D2		
Kerzit the Guardian (Major Demon)					Greyhawk	Mordenkainen's Fantastic Adventure (WG5)	27	AD&D1		
Kes'trekel					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	62	AD&D2		
Kezef, the Chaos Hound					Generic	Polyhedron #118	21	AD&D2		
Khaasta					Planescape	Planescape Monstrous Compendium Appendix II 	58	AD&D2		
Khaasta Chieftan					Planescape	Planescape Monstrous Compendium Appendix II 	59	AD&D2		
Khaasta Wise One					Planescape	Planescape Monstrous Compendium Appendix II 	59	AD&D2		
Khargra					Generic	Fiend Folio	56	AD&D1		
Khargra					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Khargra					Planescape	Planescape Monstrous Compendium Appendix III	54	AD&D2		
Khathra Vairya					Generic	Dragon #12	8	D&D?		
Kheirdeam					Generic	Dragon #224	70	AD&D2		
Kholiathra					Forgotten Realms	Elves of Evermeet	123	AD&D2		
Kholiathra					Generic	Monstrous Compendium Annual Volume Two 	76	AD&D2		
Khosatral Khel the Demon					Hyborea	Supplement IV: Gods, Demigods, Heroes	49	D&D1		
Ki-Rin					Generic	Monster Manual	57	AD&D1		
Ki-Rin					Generic	Supplement III: Eldritch Wizardry	38	D&D1		
Ki-rin					Generic	Complete Psionics Handbook (PHBR5)	123	AD&D2		
Ki-rin					Generic	Monstrous Compendium Volume Two		AD&D2		
Ki-rin					Generic	Monstrous Manual 	212	AD&D2		
Kigrid					Generic	Dragon #150	15	AD&D1		
Kiita					Generic	Dragon #149	24	AD&D1		
Killer Frogs					Generic	Polyhedron #56	12	AD&D1		
Killer Spruce					Generic	Dragon #156	14	AD&D2		
Killmoulis					Generic	Fiend Folio	57	AD&D1		
Killmoulis					Generic	Monstrous Compendium Volume Two		AD&D2		
Kindori (Space Whale)					Spelljammer	Spelljammer: AD&D Adventures in Space [Lorebook of the Void]	79	AD&D2		
King Cobra					Generic	Dragon #115	44	AD&D1		
King of the Deep					Dragonlance	Dragons of Faith (DL12)	61	AD&D1		
King-Wight					Generic	Dragon #198	26	AD&D2		
Kingfisher					Dragonlance	Tales of the Lance [World Book of Ansalon]	142	AD&D2		
Kiras					Birthright	Blood Enemies: Abominations of Cerilia 	118	AD&D2		
Kirre					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Kirre					Generic	Monstrous Manual 	213	AD&D2		
Kitsune Kasumi					Forgotten Realm (Oriental Adventures)	Dungeon #33	69	AD&D2		
Kizoku					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	65	AD&D2		
Kla'a-Tah					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Kla'a-Tah, Cläu-Rin					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Klar					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	63	AD&D2		
Klavikus, Type IV Demon Guardian					Forgotten Realms	Throne of Bloodstone (H4)	23	AD&D1		
Kleshite Ghoul					Lankhmar	Fritz Leiber's Lankhmar [Adventures in Lankhmar Sourcebook]	92	AD&D2		
Kluzd					Dark Sun	Dark Sun Boxed Set [A Little Knowledge]	15	AD&D2		
Klyndes					Planescape	Planescape Monstrous Compendium Appendix III	56	AD&D2		
Kna					Mystara	Mystara Monstrous Compendium Appendix 	68	AD&D2		
Knight Terror					Ravenloft (Gothic Earth)	Dragon #249	33	AD&D2		
Knight of Quality					Generic	Deities and Demigods Cyclopedia	17	AD&D1		
Knight of Quality					Generic	Legends & Lore	17	AD&D1		
Knight, Black Night					Diablo	Diablo II: The Awakening	63	AD&D2		
Knight, Blood Guard					Diablo	Diablo II: The Awakening	63	AD&D2		
Knight, Blood Knight					Diablo	Diablo II: The Awakening	63	AD&D2		
Knight, Dark Guard					Diablo	Diablo II: The Awakening	63	AD&D2		
Knight, Dark Knight					Diablo	Diablo II: The Awakening	63	AD&D2		
Knight, Dark Paladin					Diablo	Diablo II: The Awakening	63	AD&D2		
Knight, Death					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Knight, Doom Guard					Diablo	Diablo II: The Awakening	63	AD&D2		
Knight, Steel Lord					Diablo	Diablo II: The Awakening	63	AD&D2		
Koala					Generic	Dragon #186	46	D&D?		
Koalinth					Blackmoor	Supplement II: Blackmoor	24	D&D1		
Koalinth					Generic	Monstrous Compendium Volume One		AD&D2		
Koalinth (Hobgoblin)					Generic	Dragon #68	39	AD&D1		
Koasp					Generic	Dragon #32	16	AD&D1		
Kobalts					Generic	Polyhedron #18	11	AD&D1		
Kobold					Blackmoor	Supplement II: Blackmoor	24	D&D1		
Kobold					Dark Sun	Black Spine [Adventure Book Three]	89	AD&D2		
Kobold					Dragonlance	Tales of the Lance [World Book of Ansalon]	143	AD&D2		
Kobold					Generic	Monster Manual	57	AD&D1		
Kobold					Generic	Complete Starter Set [Monstrous Manual]	13	AD&D2		
Kobold					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	13	AD&D2		
Kobold					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	13	AD&D2		
Kobold					Generic	Monstrous Compendium Volume One		AD&D2		
Kobold					Generic	Monstrous Manual 	214	AD&D2		
Kobold					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	7	D&D1		
Kobold, Dragon Mountain					Generic	Dragon Mountain 		AD&D2		
Kobold, Urd					Dark Sun	Black Spine [Adventure Book Three]	89	AD&D2		
Kobold, Urd					Generic	Monstrous Manual 	214	AD&D2		
Kochibel (Greater Devil)					Generic	Dragon #91	23	AD&D1		
Kodragon					Dragonlance	Dragon Keep (DLE3)	57	AD&D2		
Kodragon					Dragonlance	Dragon Magic (DLE2)	64	AD&D2		
Kodragon					Planescape	Guide to the Astral Plane	76	AD&D2		
Koodjanuk					Generic	Dragon #44	88	AD&D1		
Kookaburra					Generic	Dragon #186	46	D&D?		
Kopoacinth					Blackmoor	Supplement II: Blackmoor	24	D&D1		
Kopru					Mystara	Mystara Monstrous Compendium Appendix 	69	AD&D2		
Korobokuru, Common					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Korobokuru, Ishikorobokuru					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Korobokuru, Malatran					Forgotten Realms	Polyhedron #102	20	AD&D2		
Korred					Generic	Monster Manual II	78	AD&D1		
Korred					Generic	Monstrous Compendium Volume One		AD&D2		
Krag					Dark Sun	City by the Silt Sea [Monstrous Supplement]	16	AD&D2		
Krag					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	64	AD&D2		
Kragling					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	66	AD&D2		
Kragling (lesser, greater)					Dark Sun	City by the Silt Sea [Monstrous Supplement]	18	AD&D2		
Kragling (lesser, greater)					Dark Sun	City by the Silt Sea [Monstrous Supplement]	18	AD&D2		
Krajen, Adult					Spelljammer	Spelljammer: AD&D Adventures in Space [Lorebook of the Void]	81	AD&D2		
Krajen, Immature					Spelljammer	Spelljammer: AD&D Adventures in Space [Lorebook of the Void]	81	AD&D2		
Kraken					Birthright	Blood Enemies: Abominations of Cerilia 	46	AD&D2		
Kraken					Generic	Monster Manual II	79	AD&D1		
Kraken					Hyborea	Supplement IV: Gods, Demigods, Heroes	48	D&D1		
Krakentua					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Krakentua					Forgotten Realms (Oriental Adventures)	Test of the Samurai (OA7)	91	AD&D2		
Kreel					Dark Sun	Wanderer's Chronicle: Mind Lords of the Last Sea [Wanderer's Chronicle: Mind Lords of the Last Sea]	84	AD&D2		
Krolli					Generic	Dragon #36	63	AD&D1		
Kronos (former ruler of the gods and greater titans)					Generic	Deities and Demigods Cyclopedia	72	AD&D1		
Kronos (former ruler of the gods and greater titans)					Generic	Legends & Lore	67	AD&D1		
Kronosaurus					Generic	Dragon #187	17	AD&D2		
Krotter					Forgotten Realms	Giantcraft	124	AD&D2		
Kruel					Generic	Dragon #187	77	AD&D2		
Krvopijac					Generic	Best of Dragon, Vol. II	60	D&D?		
Krvopijac					Generic	Dragon #25	42	D&D?		
Kuei					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Kuei					Forgotten Realms (Oriental Adventures)	Oriental Adventures	124	AD&D1		
Kuei					Generic	Dragon #42	10	AD&D1		
Kuei					Generic	Wizard's Spell Compendium, Volume Four	911	AD&D2		
Kuei (skeleton)					Generic	Dragon Annual #1	68	AD&D2		
Kuo-Toa					Generic	Fiend Folio	57	AD&D1		
Kuo-Toa					Generic	Monstrous Compendium Volume Two		AD&D2		
Kuo-Toa					Generic	Monstrous Manual 	215	AD&D2		
Kuo-Toa					Greyhawk	Descent into the Depths of the Earth (D1-2)	25	AD&D1		
Kuo-Toa					Greyhawk	Shrine of the Kuo-Toa (D2)	13	AD&D1		
Kuo-Toa					Greyhawk	Vault of the Drow (D3)	25	AD&D1		
Kupuk					Forgotten Realms	Great Glacier (FR14)	93	AD&D2		
Kurack 					Ravenloft	Terrors from Above	73	AD&D2		
Kurack , Advanced					Ravenloft	Terrors from Above	73	AD&D2		
Kus-Nar 					Ravenloft	Terrors from Above	75	AD&D2		
Kyrie					Dragonlance	World of Krynn (DL16)	95	AD&D1		
Kyrie					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Kyrie					Dragonlance	Tales of the Lance [World Book of Ansalon]	137	AD&D2		
Kyryn, Adult					Ravenloft	Terrors from Above	76	AD&D2		
Kyryn, Larva					Ravenloft	Terrors from Above	76	AD&D2		
Kyton					Generic	Monstrous Compendium Annual Volume Three	68	AD&D2		
Kyton					Planescape	Planes of Law [Monstrous Supplement]	22	AD&D2		
Kyuss, Son of					Generic	Monstrous Compendium Annual Volume Three	69	AD&D2		
Kyuss, Son of					Greyhawk	Monstrous Compendium Greyhawk Appendix		AD&D2		
Kzinti					Generic	Dragon #50	16	AD&D1		
Lacedon					Blackmoor	Supplement II: Blackmoor	24	D&D1		
Lacerial, Bladebacks					Forgotten Realms	Polyhedron #129	32	AD&D2		
Lacerial, Finhead					Forgotten Realms	Polyhedron #129	32	AD&D2		
Lacerial, Flyers					Forgotten Realms	Polyhedron #129	32	AD&D2		
Lacerial, Hornheads					Forgotten Realms	Polyhedron #129	32	AD&D2		
Lacunae Ghost					Generic	Dragon #265	44	AD&D2		
Laerti					Forgotten Realms	Anauroch (FR13)	91	AD&D2		
Laerti					Generic	Monstrous Compendium Annual Volume Two 	77	AD&D2		
Laerti, Stingtail					Forgotten Realms	Anauroch (FR13)	91	AD&D2		
Laerti, Stingtail					Generic	Monstrous Compendium Annual Volume Two 	77	AD&D2		
Lakshu					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Lamia					Birthright	Blood Enemies: Abominations of Cerilia 	48	AD&D2		
Lamia					Generic	Monster Manual	59	AD&D1		
